User_ID,Device_Model,Operating_System,App_Usage_Time,Screen_On_Time,Battery_Drain,Number_of_Apps_Installed,Data_Usage,Age,Gender,User_Behavior_Class,Battery_Intensity,User_Status,App_Distraction_Index,Battery_Stress_Score,Generation,Usage_Efficiency,Digital_Burnout_Score,User_Persona,Battery_Efficiency_Level,Extreme_Usage_Flag,Risk_Score,Addiction_Risk_Level
11,Google Pixel 5,Android,53,1.4,435,17,162,34,Female,1,310.71,Basic,3.12,0.3724137931034483,Millennials,0.6309523809523809,0.24,Female - Millennials,Low Drain,Normal,11.764517420905086,Low Risk
12,OnePlus 9,Android,215,5.5,1690,47,641,24,Male,3,307.27,Regular,4.57,0.3792899408284024,Gen Z,0.6515151515151515,2.58,Male - Gen Z,High Drain,Normal,40.27699906554532,Medium Risk
13,OnePlus 9,Android,462,6.2,2303,65,1099,57,Female,4,371.45,Heavy,7.11,0.47720364741641336,Gen X / Boomers,1.2419354838709677,4.03,Female - Gen X / Boomers,High Drain,Normal,53.56748097717261,Medium Risk
14,Xiaomi Mi 11,Android,215,4.9,1662,43,857,43,Male,3,339.18,Regular,5.0,0.5156438026474127,Gen X / Boomers,0.7312925170068026,2.11,Male - Gen X / Boomers,High Drain,Normal,39.65999199038847,Low Risk
15,iPhone 12,iOS,189,5.4,1754,53,779,49,Female,3,324.81,Regular,3.57,0.44412770809578106,Gen X / Boomers,0.5833333333333333,2.86,Female - Gen X / Boomers,High Drain,Normal,43.41983713789881,Medium Risk
16,Google Pixel 5,Android,503,10.4,2571,84,2025,39,Female,5,247.21,Addicted,5.99,0.7876312718786465,Millennials,0.8060897435897435,8.74,Female - Millennials,High Drain,Normal,84.45040715525298,High Risk
17,OnePlus 9,Android,132,3.6,628,32,344,47,Female,2,174.44,Casual,4.12,0.5477707006369427,Gen X / Boomers,0.6111111111111112,1.15,Female - Gen X / Boomers,Low Drain,Normal,25.829929248431448,Low Risk
18,iPhone 12,iOS,299,5.8,1431,41,985,44,Female,3,246.72,Regular,7.29,0.6883298392732355,Gen X / Boomers,0.8591954022988506,2.38,Female - Gen X / Boomers,Low Drain,Normal,43.59177679882526,Medium Risk
19,Google Pixel 5,Android,81,1.4,558,16,297,26,Female,1,398.57,Basic,5.06,0.532258064516129,Millennials,0.9642857142857144,0.22,Female - Millennials,Low Drain,Normal,13.083433453477504,Low Risk
20,iPhone 12,iOS,577,8.5,2774,89,2192,29,Female,5,326.35,Addicted,6.48,0.7901946647440519,Millennials,1.1313725490196078,7.56,Female - Millennials,High Drain,Normal,81.63863302629822,High Risk
21,Samsung Galaxy S21,Android,93,2.6,681,37,302,45,Female,2,261.92,Casual,2.51,0.4434654919236417,Gen X / Boomers,0.5961538461538461,0.96,Female - Gen X / Boomers,Low Drain,Normal,23.507141903617676,Low Risk
22,OnePlus 9,Android,576,11.6,2803,82,1553,43,Female,5,241.64,Addicted,7.02,0.5540492329646807,Gen X / Boomers,0.8275862068965517,9.51,Female - Gen X / Boomers,High Drain,Extreme,82.1735415832332,High Risk
23,Samsung Galaxy S21,Android,423,6.5,2094,65,1372,23,Female,4,322.15,Heavy,6.51,0.6552053486150907,Gen Z,1.0846153846153845,4.22,Female - Gen Z,High Drain,Normal,57.84741690028033,Medium Risk
24,Google Pixel 5,Android,292,5.6,1401,46,949,37,Female,3,250.18,Regular,6.35,0.6773733047822984,Millennials,0.8690476190476191,2.58,Female - Millennials,Low Drain,Normal,44.00774262448271,Medium Risk
25,OnePlus 9,Android,216,4.0,1711,59,748,58,Male,3,427.75,Regular,3.66,0.43717124488603154,Gen X / Boomers,0.9,2.36,Male - Gen X / Boomers,High Drain,Normal,40.198905353090375,Medium Risk
26,Samsung Galaxy S21,Android,91,3.4,1073,38,451,52,Male,2,315.59,Casual,2.39,0.42031686859273065,Gen X / Boomers,0.446078431372549,1.29,Male - Gen X / Boomers,Low Drain,Normal,28.26698705112802,Low Risk
27,iPhone 12,iOS,444,7.6,2372,77,1002,29,Male,4,312.11,Heavy,5.77,0.42242833052276557,Millennials,0.9736842105263159,5.85,Male - Millennials,High Drain,Normal,60.70511280202909,Medium Risk
28,Google Pixel 5,Android,512,10.5,2409,89,1599,33,Male,5,229.43,Addicted,5.75,0.663760896637609,Millennials,0.8126984126984127,9.35,Male - Millennials,High Drain,Normal,81.18075023361367,High Risk
29,OnePlus 9,Android,452,6.8,2387,77,1456,55,Female,4,351.03,Heavy,5.87,0.6099706744868035,Gen X / Boomers,1.107843137254902,5.24,Female - Gen X / Boomers,High Drain,Normal,63.49299158990789,Medium Risk
30,Samsung Galaxy S21,Android,412,6.2,1899,78,1384,19,Female,4,306.29,Heavy,5.28,0.7288046340179042,Gen Z,1.10752688172043,4.84,Female - Gen Z,High Drain,Normal,60.930983847283414,Medium Risk
31,Xiaomi Mi 11,Android,260,6.0,1361,44,889,37,Female,3,226.83,Regular,5.91,0.6531961792799412,Millennials,0.7222222222222222,2.64,Female - Millennials,Low Drain,Normal,44.014150313709784,Medium Risk
32,Xiaomi Mi 11,Android,197,4.6,1660,59,975,25,Male,3,360.87,Regular,3.34,0.5873493975903614,Millennials,0.713768115942029,2.71,Male - Millennials,High Drain,Normal,44.9261780803631,Medium Risk
33,Google Pixel 5,Android,278,4.7,1484,55,917,21,Male,3,315.74,Regular,5.05,0.6179245283018868,Gen Z,0.9858156028368795,2.58,Male - Gen Z,Low Drain,Normal,43.35055399813109,Medium Risk
34,Google Pixel 5,Android,46,2.0,457,14,105,58,Male,1,228.5,Basic,3.29,0.22975929978118162,Gen X / Boomers,0.38333333333333336,0.28,Male - Gen X / Boomers,Low Drain,Normal,12.170604725670804,Low Risk
35,Xiaomi Mi 11,Android,593,10.2,2499,81,1616,38,Female,5,245.0,Addicted,7.32,0.6466586634653861,Millennials,0.9689542483660131,8.26,Female - Millennials,High Drain,Normal,77.96075290348418,High Risk
36,Samsung Galaxy S21,Android,32,1.2,580,19,153,20,Female,1,483.33,Basic,1.68,0.2637931034482759,Gen Z,0.4444444444444445,0.23,Female - Gen Z,Low Drain,Normal,11.595781604592176,Low Risk
37,iPhone 12,iOS,122,3.3,755,30,573,26,Male,2,228.79,Casual,4.07,0.7589403973509934,Millennials,0.6161616161616161,0.99,Male - Millennials,Low Drain,Normal,26.975170204245096,Low Risk
38,Samsung Galaxy S21,Android,522,11.2,2808,93,2328,24,Male,5,250.71,Addicted,5.61,0.8290598290598291,Gen Z,0.7767857142857143,10.42,Male - Gen Z,High Drain,Normal,93.48471499132292,High Risk
39,OnePlus 9,Android,473,6.4,2312,74,1400,40,Male,4,361.25,Heavy,6.39,0.6055363321799307,Millennials,1.2317708333333333,4.74,Male - Millennials,High Drain,Normal,60.57775997864104,Medium Risk
40,Samsung Galaxy S21,Android,398,6.2,1851,77,1180,23,Male,4,298.55,Heavy,5.17,0.637493246893571,Gen Z,1.0698924731182795,4.77,Male - Gen Z,High Drain,Normal,58.177012414897874,Medium Risk
41,Xiaomi Mi 11,Android,240,4.7,1464,52,708,56,Female,3,311.49,Regular,4.62,0.48360655737704916,Gen X / Boomers,0.851063829787234,2.44,Female - Gen X / Boomers,Low Drain,Normal,39.93044987318115,Low Risk
42,OnePlus 9,Android,576,10.1,2447,83,2323,33,Male,5,242.28,Addicted,6.94,0.9493257049448304,Millennials,0.9504950495049505,8.38,Male - Millennials,High Drain,Normal,86.72767320784942,High Risk
43,Samsung Galaxy S21,Android,120,2.1,720,39,392,43,Male,2,342.86,Casual,3.08,0.5444444444444444,Gen X / Boomers,0.9523809523809523,0.82,Male - Gen X / Boomers,Low Drain,Normal,23.527833400080098,Low Risk
44,Samsung Galaxy S21,Android,152,3.7,993,32,429,18,Male,2,268.38,Casual,4.75,0.43202416918429004,Gen Z,0.6846846846846846,1.18,Male - Gen Z,Low Drain,Normal,27.184488052329463,Low Risk
45,Xiaomi Mi 11,Android,138,2.4,837,21,572,56,Female,2,348.75,Casual,6.57,0.6833930704898447,Gen X / Boomers,0.9583333333333333,0.5,Female - Gen X / Boomers,Low Drain,Normal,21.235883059671604,Low Risk
46,Xiaomi Mi 11,Android,502,10.9,2476,96,1935,39,Male,5,227.16,Addicted,5.23,0.781502423263328,Millennials,0.7675840978593272,10.46,Male - Millennials,High Drain,Normal,88.67213990121479,High Risk
47,OnePlus 9,Android,558,8.4,2447,97,1594,22,Female,5,291.31,Addicted,5.75,0.6514098896608091,Gen Z,1.1071428571428572,8.15,Female - Gen Z,High Drain,Normal,76.54492057135229,High Risk
48,Samsung Galaxy S21,Android,138,3.6,889,25,323,27,Female,2,246.94,Casual,5.52,0.36332958380202474,Millennials,0.6388888888888888,0.9,Female - Millennials,Low Drain,Normal,23.45641436390335,Low Risk
49,Google Pixel 5,Android,580,8.2,2623,90,2262,49,Male,5,319.88,Addicted,6.44,0.8623713305375524,Gen X / Boomers,1.1788617886178863,7.38,Male - Gen X / Boomers,High Drain,Normal,81.78267254038178,High Risk
50,OnePlus 9,Android,589,8.7,2736,82,1997,49,Male,5,314.48,Addicted,7.18,0.7298976608187134,Gen X / Boomers,1.128352490421456,7.13,Male - Gen X / Boomers,High Drain,Normal,77.84127619810438,High Risk
51,Xiaomi Mi 11,Android,452,7.4,2180,61,1417,54,Female,4,294.59,Heavy,7.41,0.65,Gen X / Boomers,1.018018018018018,4.51,Female - Gen X / Boomers,High Drain,Normal,60.175944466693366,Medium Risk
52,Xiaomi Mi 11,Android,245,5.9,1243,52,885,29,Male,3,210.68,Regular,4.71,0.7119871279163315,Millennials,0.6920903954802259,3.07,Male - Millennials,Low Drain,Normal,46.05700173541584,Medium Risk
53,Samsung Galaxy S21,Android,125,2.7,690,28,393,27,Female,2,255.56,Casual,4.46,0.5695652173913044,Millennials,0.7716049382716049,0.76,Female - Millennials,Low Drain,Normal,22.206514484047524,Low Risk
54,Xiaomi Mi 11,Android,97,2.2,1101,38,375,53,Male,2,500.45,Casual,2.55,0.3405994550408719,Gen X / Boomers,0.7348484848484848,0.84,Male - Gen X / Boomers,Low Drain,Normal,23.353891336270188,Low Risk
55,Google Pixel 5,Android,516,8.7,2857,83,2189,53,Female,5,328.39,Addicted,6.22,0.7661883094154708,Gen X / Boomers,0.9885057471264368,7.22,Female - Gen X / Boomers,High Drain,Normal,80.45107462288078,High Risk
56,iPhone 12,iOS,68,1.6,450,14,111,30,Male,1,281.25,Basic,4.86,0.24666666666666667,Millennials,0.7083333333333333,0.22,Male - Millennials,Low Drain,Normal,10.909357896142037,Low Risk
57,OnePlus 9,Android,64,1.1,572,10,161,42,Female,1,520.0,Basic,6.4,0.28146853146853146,Gen X / Boomers,0.9696969696969696,0.11,Female - Gen X / Boomers,Low Drain,Normal,8.631290882392204,Low Risk
58,OnePlus 9,Android,539,8.4,2796,89,2415,26,Male,5,332.86,Addicted,6.06,0.8637339055793991,Millennials,1.0694444444444442,7.48,Male - Millennials,High Drain,Normal,83.98451475103458,High Risk
59,Xiaomi Mi 11,Android,428,7.0,2306,75,1144,22,Male,4,329.43,Heavy,5.71,0.49609713790112747,Gen Z,1.0190476190476192,5.25,Male - Gen Z,High Drain,Normal,59.80509945267655,Medium Risk
60,iPhone 12,iOS,325,7.1,2269,64,1053,56,Male,4,319.58,Heavy,5.08,0.4640810929925077,Gen X / Boomers,0.7629107981220659,4.54,Male - Gen X / Boomers,High Drain,Normal,55.7117874783073,Medium Risk
61,Xiaomi Mi 11,Android,522,11.9,2798,85,1663,28,Female,5,235.13,Addicted,6.14,0.5943531093638313,Millennials,0.7310924369747899,10.12,Female - Millennials,High Drain,Extreme,85.40421839540784,High Risk
62,Xiaomi Mi 11,Android,309,7.5,2292,77,1253,57,Female,4,305.6,Heavy,4.01,0.5466841186736475,Gen X / Boomers,0.6866666666666668,5.78,Female - Gen X / Boomers,High Drain,Normal,63.38739821118675,Medium Risk
63,Xiaomi Mi 11,Android,79,1.9,493,14,128,55,Male,1,259.47,Basic,5.64,0.25963488843813387,Gen X / Boomers,0.6929824561403509,0.27,Male - Gen X / Boomers,Low Drain,Normal,12.113602990254972,Low Risk
64,Xiaomi Mi 11,Android,545,11.5,2911,87,1717,21,Female,5,253.13,Addicted,6.26,0.5898316729646169,Gen Z,0.7898550724637682,10.01,Female - Gen Z,High Drain,Extreme,85.3257242023762,High Risk
65,Samsung Galaxy S21,Android,459,7.0,1982,67,1091,43,Male,4,283.14,Heavy,6.85,0.5504540867810293,Gen X / Boomers,1.092857142857143,4.69,Male - Gen X / Boomers,High Drain,Normal,56.744092911493794,Medium Risk
66,iPhone 12,iOS,225,4.0,1420,48,917,56,Male,3,355.0,Regular,4.69,0.645774647887324,Gen X / Boomers,0.9375,1.92,Male - Gen X / Boomers,Low Drain,Normal,38.89600854358564,Low Risk
67,iPhone 12,iOS,257,4.5,1705,57,912,55,Male,3,378.89,Regular,4.51,0.5348973607038123,Gen X / Boomers,0.9518518518518518,2.56,Male - Gen X / Boomers,High Drain,Normal,43.22987585102123,Medium Risk
68,Xiaomi Mi 11,Android,134,4.0,773,35,449,28,Female,2,193.25,Casual,3.83,0.5808538163001293,Millennials,0.5583333333333333,1.4,Female - Millennials,Low Drain,Normal,29.333867307435586,Low Risk
69,iPhone 12,iOS,516,10.2,2932,98,1547,31,Male,5,287.45,Addicted,5.27,0.5276261937244202,Millennials,0.8431372549019608,10.0,Male - Millennials,High Drain,Normal,82.28327326124683,High Risk
70,Google Pixel 5,Android,82,1.7,558,16,284,29,Female,1,328.24,Basic,5.12,0.5089605734767025,Millennials,0.803921568627451,0.27,Female - Millennials,Low Drain,Normal,13.927246028567613,Low Risk
71,Samsung Galaxy S21,Android,452,7.2,1808,64,1090,45,Female,4,251.11,Heavy,7.06,0.6028761061946902,Gen X / Boomers,1.0462962962962963,4.61,Female - Gen X / Boomers,High Drain,Normal,56.48965425176878,Medium Risk
72,iPhone 12,iOS,521,9.0,2902,97,1701,37,Male,5,322.44,Addicted,5.37,0.5861474844934528,Millennials,0.9648148148148148,8.73,Male - Millennials,High Drain,Normal,79.83046322253371,High Risk
73,Google Pixel 5,Android,457,6.3,2347,66,1082,22,Male,4,372.54,Heavy,6.92,0.4610140605027695,Gen Z,1.208994708994709,4.16,Male - Gen Z,High Drain,Normal,53.999599519423306,Medium Risk
74,Xiaomi Mi 11,Android,31,1.1,585,11,208,50,Female,1,531.82,Basic,2.82,0.35555555555555557,Gen X / Boomers,0.4696969696969697,0.12,Female - Gen X / Boomers,Low Drain,Normal,9.498998798558269,Low Risk
75,iPhone 12,iOS,47,2.0,476,14,125,39,Male,1,238.0,Basic,3.36,0.26260504201680673,Millennials,0.39166666666666666,0.28,Male - Millennials,Low Drain,Normal,12.410893071686022,Low Risk
76,Xiaomi Mi 11,Android,229,5.7,1305,43,985,23,Female,3,228.95,Regular,5.33,0.7547892720306514,Gen Z,0.6695906432748538,2.45,Female - Gen Z,Low Drain,Normal,43.86450407155253,Medium Risk
77,Xiaomi Mi 11,Android,34,2.0,558,14,122,54,Female,1,279.0,Basic,2.43,0.21863799283154123,Gen X / Boomers,0.2833333333333333,0.28,Female - Gen X / Boomers,Low Drain,Normal,12.37484981978374,Low Risk
78,Google Pixel 5,Android,173,2.5,678,29,301,30,Female,2,271.2,Casual,5.97,0.443952802359882,Millennials,1.1533333333333333,0.72,Female - Millennials,Low Drain,Normal,20.737551728741156,Low Risk
79,Samsung Galaxy S21,Android,78,1.8,333,17,138,51,Female,1,185.0,Basic,4.59,0.4144144144144144,Gen X / Boomers,0.7222222222222222,0.31,Female - Gen X / Boomers,Low Drain,Normal,12.809504739020158,Low Risk
80,Google Pixel 5,Android,230,5.7,1254,52,989,34,Female,3,220.0,Regular,4.42,0.7886762360446571,Millennials,0.672514619883041,2.96,Female - Millennials,Low Drain,Normal,46.639834468028305,Medium Risk
81,OnePlus 9,Android,565,10.6,2475,99,1603,51,Female,5,233.49,Addicted,5.71,0.6476767676767676,Gen X / Boomers,0.8883647798742138,10.49,Female - Gen X / Boomers,High Drain,Normal,84.59244426645307,High Risk
82,iPhone 12,iOS,172,2.8,1035,22,549,41,Male,2,369.64,Casual,7.82,0.5304347826086957,Gen X / Boomers,1.023809523809524,0.62,Male - Gen X / Boomers,Low Drain,Normal,22.59591509811774,Low Risk
83,Xiaomi Mi 11,Android,330,7.2,2363,77,1133,21,Female,4,328.19,Heavy,4.29,0.47947524333474395,Gen Z,0.7638888888888888,5.54,Female - Gen Z,High Drain,Normal,60.945668135095445,Medium Risk
84,Xiaomi Mi 11,Android,39,1.8,368,11,105,19,Male,1,204.44,Basic,3.55,0.28532608695652173,Gen Z,0.3611111111111111,0.2,Male - Gen Z,Low Drain,Normal,10.594847149913228,Low Risk
85,Google Pixel 5,Android,223,4.5,1311,56,695,33,Female,3,291.33,Regular,3.98,0.5301296720061022,Millennials,0.825925925925926,2.52,Female - Millennials,Low Drain,Normal,40.319716993725805,Medium Risk
86,Google Pixel 5,Android,404,7.4,2081,63,1352,44,Male,4,281.22,Heavy,6.41,0.6496876501681884,Gen X / Boomers,0.9099099099099098,4.66,Male - Gen X / Boomers,High Drain,Normal,60.00106794820451,Medium Risk
87,Samsung Galaxy S21,Android,151,2.4,1003,25,392,39,Male,2,417.92,Casual,6.04,0.39082751744765704,Millennials,1.0486111111111112,0.6,Male - Millennials,Low Drain,Normal,20.285409157655856,Low Risk
88,Samsung Galaxy S21,Android,34,1.5,345,11,276,44,Male,1,230.0,Basic,3.09,0.8,Gen X / Boomers,0.37777777777777777,0.16,Male - Gen X / Boomers,Low Drain,Normal,11.649312508343346,Low Risk
89,Xiaomi Mi 11,Android,137,3.3,839,31,348,34,Female,2,254.24,Casual,4.42,0.41477949940405245,Millennials,0.6919191919191919,1.02,Female - Millennials,Low Drain,Normal,24.57495661460419,Low Risk
90,Samsung Galaxy S21,Android,301,6.2,2053,75,1303,45,Male,4,331.13,Heavy,4.01,0.6346809547004384,Gen X / Boomers,0.8091397849462365,4.65,Male - Gen X / Boomers,High Drain,Normal,59.04872513683086,Medium Risk
91,Google Pixel 5,Android,116,2.1,912,39,307,40,Female,2,434.29,Casual,2.97,0.3366228070175439,Millennials,0.9206349206349206,0.82,Female - Millennials,Low Drain,Normal,22.506607929515418,Low Risk
92,Google Pixel 5,Android,291,4.1,1474,46,827,32,Female,3,359.51,Regular,6.33,0.5610583446404342,Millennials,1.1829268292682926,1.89,Female - Millennials,Low Drain,Normal,37.541983713789875,Low Risk
93,iPhone 12,iOS,84,1.4,501,16,284,56,Female,1,357.86,Basic,5.25,0.5668662674650699,Gen X / Boomers,1.0,0.22,Female - Gen X / Boomers,Low Drain,Normal,12.927246028567613,Low Risk
94,iPhone 12,iOS,134,2.5,1125,24,367,35,Male,2,450.0,Casual,5.58,0.32622222222222225,Millennials,0.8933333333333333,0.6,Male - Millennials,Low Drain,Normal,20.015351755439863,Low Risk
95,Samsung Galaxy S21,Android,411,7.5,2169,72,1083,58,Male,4,289.2,Heavy,5.71,0.49930843706777317,Gen X / Boomers,0.9133333333333333,5.4,Male - Gen X / Boomers,High Drain,Normal,59.82979575490589,Medium Risk
96,Xiaomi Mi 11,Android,326,7.2,2243,73,1454,50,Male,4,311.53,Heavy,4.47,0.6482389656709764,Gen X / Boomers,0.7546296296296297,5.26,Male - Gen X / Boomers,High Drain,Normal,63.59017487651849,Medium Risk
97,iPhone 12,iOS,550,9.5,2916,91,1946,20,Male,5,306.95,Addicted,6.04,0.6673525377229081,Gen Z,0.9649122807017543,8.64,Male - Gen Z,High Drain,Normal,82.62248030970498,High Risk
98,OnePlus 9,Android,516,12.0,2406,82,1968,28,Female,5,200.5,Addicted,6.29,0.8179551122194514,Millennials,0.7166666666666667,9.84,Female - Millennials,High Drain,Extreme,88.49285809638232,High Risk
99,Google Pixel 5,Android,59,1.2,361,18,293,25,Female,1,300.83,Basic,3.28,0.8116343490304709,Millennials,0.8194444444444444,0.22,Female - Millennials,Low Drain,Normal,12.974769723668402,Low Risk
100,OnePlus 9,Android,225,5.5,1526,44,875,50,Female,3,277.45,Regular,5.11,0.573394495412844,Gen X / Boomers,0.6818181818181818,2.42,Female - Gen X / Boomers,High Drain,Normal,42.17928180483246,Medium Risk
101,Google Pixel 5,Android,41,1.1,389,15,136,53,Male,1,353.64,Basic,2.73,0.3496143958868895,Gen X / Boomers,0.6212121212121212,0.16,Male - Gen X / Boomers,Low Drain,Normal,9.846081965024698,Low Risk
102,OnePlus 9,Android,183,4.1,1210,45,738,19,Male,3,295.12,Regular,4.07,0.6099173553719008,Gen Z,0.7439024390243902,1.84,Male - Gen Z,Low Drain,Normal,36.16967027099186,Low Risk
103,Google Pixel 5,Android,174,2.5,929,37,565,32,Female,2,371.6,Casual,4.7,0.6081808396124866,Millennials,1.16,0.92,Female - Millennials,Low Drain,Normal,26.333600320384463,Low Risk
104,Xiaomi Mi 11,Android,274,4.2,1781,52,934,28,Male,3,424.05,Regular,5.27,0.5244244806288602,Millennials,1.0873015873015872,2.18,Male - Millennials,High Drain,Normal,40.979041516486454,Medium Risk
105,Xiaomi Mi 11,Android,166,2.8,1113,28,360,25,Male,2,397.5,Casual,5.93,0.32345013477088946,Millennials,0.9880952380952381,0.78,Male - Millennials,Low Drain,Normal,22.143372046455745,Low Risk
106,Xiaomi Mi 11,Android,66,1.2,585,12,264,36,Male,1,487.5,Basic,5.5,0.4512820512820513,Millennials,0.9166666666666667,0.14,Male - Millennials,Low Drain,Normal,10.808169803764518,Low Risk
107,Google Pixel 5,Android,152,2.7,642,38,596,55,Male,2,237.78,Casual,4.0,0.9283489096573209,Gen X / Boomers,0.9382716049382716,1.03,Male - Gen X / Boomers,Low Drain,Normal,27.675744226405016,Low Risk
108,Google Pixel 5,Android,54,1.4,403,17,278,23,Female,1,287.86,Basic,3.18,0.6898263027295285,Gen Z,0.6428571428571429,0.24,Female - Gen Z,Low Drain,Normal,13.15818982779335,Low Risk
109,Xiaomi Mi 11,Android,187,5.5,1754,55,711,50,Female,3,318.91,Regular,3.4,0.4053591790193843,Gen X / Boomers,0.5666666666666667,3.02,Female - Gen X / Boomers,High Drain,Normal,43.54225070084101,Medium Risk
110,OnePlus 9,Android,216,6.0,1641,41,889,39,Female,3,273.5,Regular,5.27,0.5417428397318708,Millennials,0.6,2.46,Female - Millennials,High Drain,Normal,43.10505940461888,Medium Risk
111,OnePlus 9,Android,95,3.8,718,26,459,41,Female,2,188.95,Casual,3.65,0.6392757660167131,Gen X / Boomers,0.4166666666666667,0.99,Female - Gen X / Boomers,Low Drain,Normal,26.060072086503805,Low Risk
112,Xiaomi Mi 11,Android,488,8.6,2447,84,2344,19,Male,5,284.53,Addicted,5.81,0.9579076420106253,Gen Z,0.9457364341085271,7.22,Male - Gen Z,High Drain,Normal,82.2830062741957,High Risk
113,Google Pixel 5,Android,295,5.1,1483,45,748,27,Female,3,290.78,Regular,6.56,0.5043830074173972,Millennials,0.9640522875816995,2.3,Female - Millennials,Low Drain,Normal,39.623147777332804,Low Risk
114,Samsung Galaxy S21,Android,136,3.2,818,33,404,42,Male,2,255.62,Casual,4.12,0.4938875305623472,Gen X / Boomers,0.7083333333333333,1.06,Male - Gen X / Boomers,Low Drain,Normal,25.520491256174076,Low Risk
115,Xiaomi Mi 11,Android,471,7.9,2156,76,1324,54,Female,4,272.91,Heavy,6.2,0.614100185528757,Gen X / Boomers,0.9936708860759492,6.0,Female - Gen X / Boomers,High Drain,Normal,65.2707248698438,Medium Risk
116,iPhone 12,iOS,121,3.2,651,34,596,39,Male,2,203.44,Casual,3.56,0.9155145929339478,Millennials,0.6302083333333333,1.09,Male - Millennials,Low Drain,Normal,28.130289680950476,Low Risk
117,iPhone 12,iOS,75,1.2,409,13,281,18,Male,1,340.83,Basic,5.77,0.687041564792176,Gen Z,1.0416666666666667,0.16,Male - Gen Z,Low Drain,Normal,11.315445200907757,Low Risk
118,iPhone 12,iOS,220,5.2,1631,49,909,27,Female,3,313.65,Regular,4.49,0.5573267933782955,Millennials,0.7051282051282051,2.55,Female - Millennials,High Drain,Normal,43.102923508209855,Medium Risk
119,Samsung Galaxy S21,Android,82,1.6,590,13,124,28,Female,1,368.75,Basic,6.31,0.21016949152542372,Millennials,0.8541666666666666,0.21,Female - Millennials,Low Drain,Normal,10.762515018021626,Low Risk
120,Google Pixel 5,Android,97,2.7,1018,37,428,41,Male,2,377.04,Casual,2.62,0.4204322200392927,Gen X / Boomers,0.5987654320987654,1.0,Male - Gen X / Boomers,Low Drain,Normal,25.35429181684688,Low Risk
121,Samsung Galaxy S21,Android,388,6.6,2085,71,1150,45,Female,4,315.91,Heavy,5.46,0.5515587529976019,Gen X / Boomers,0.9797979797979799,4.69,Female - Gen X / Boomers,High Drain,Normal,57.33173141102656,Medium Risk
122,OnePlus 9,Android,529,8.7,2484,89,2189,39,Female,5,285.52,Addicted,5.94,0.8812399355877617,Millennials,1.0134099616858239,7.74,Female - Millennials,High Drain,Normal,82.26925644106261,High Risk
123,Google Pixel 5,Android,584,10.0,2541,99,2391,49,Female,5,254.1,Addicted,5.9,0.9409681227863046,Gen X / Boomers,0.9733333333333333,9.9,Female - Gen X / Boomers,High Drain,Normal,92.05980509945267,High Risk
